[00:00.000 --> 00:02.000]  We've got it
[00:07.280 --> 00:09.380]  Waging war on corruption
[00:11.200 --> 00:17.300]  It's Alex Jones coming to you live from the front lines of the info war
[00:21.000 --> 00:24.960]  Ladies and gentlemen, it is Sunday the 10th day of February
[00:24.960 --> 00:27.960]  2013 I
[00:28.960 --> 00:34.740]  Am your host Alex Jones and Lord willing we'll be here for the next two hours as we are every Sunday
[00:35.360 --> 00:38.320]  4 to 6 p.m. Central Standard Time
[00:39.480 --> 00:44.760]  Okay, it is a big broadcast. Obviously if the world just gets crazier by the minute in the second hour
[00:44.760 --> 00:49.920]  I will open the phones up for the families of veterans who have committed suicide
[00:50.400 --> 00:53.120]  It's 22 a day and growing
[00:53.120 --> 00:55.520]  It's it's growing every month
[00:56.960 --> 00:59.760]  Unfortunately, and we're going to look at why this phenomenon is
[01:00.640 --> 01:02.640]  exploding to
[01:02.880 --> 01:04.880]  epic and
[01:05.120 --> 01:07.000]  pandemic proportions
[01:07.000 --> 01:09.440]  because the establishment wants to
[01:10.120 --> 01:17.080]  Only focus on violence when they can get some power out of it and use the crisis to take basic liberties
[01:17.160 --> 01:21.760]  They wanted swept under the rug dealing with not just suicide of the troops
[01:21.760 --> 01:29.160]  But you guys print me suicide now number one cause of unnatural death in the u.s. Print me that in the 22 a day dead
[01:29.160 --> 01:33.480]  Thank you, because I'll need that the second hour. I forgot to have those exhibits for people
[01:34.280 --> 01:41.240]  For the TV viewers and radio listeners. We are streaming video at info wars news.com and prison planet
[01:41.880 --> 01:43.520]  TV
[01:43.520 --> 01:45.520]  Okay where to start today?
[01:45.520 --> 01:50.480]  Day let me just go over the headlines
[01:51.560 --> 01:54.800]  In fact, I intended to come in today to talk about the police state drones
[01:55.900 --> 02:00.400]  Expanded war in the Middle East Israel strike in Syria may be first in a series Washington Post
[02:00.920 --> 02:02.800]  But last night in this morning
[02:02.800 --> 02:09.220]  I watched several times a video that Paul Watson's posting right now at info wars calm and prison planet calm
[02:09.220 --> 02:15.420]  World Banker makes stunning confession, and it's James Wolf Denson, but it has a couple clips off financial
[02:16.580 --> 02:18.580]  Channels TV as well
[02:18.620 --> 02:21.180]  Something he said two years ago that we covered at the time
[02:21.180 --> 02:27.240]  But I was reminded of it where they talked about how most of the West is going to be poor in the next decade now
[02:27.240 --> 02:29.240]  The middle class is going to disappear
[02:29.500 --> 02:31.500]  And he was telling
[02:31.900 --> 02:33.900]  top PhD students
[02:34.220 --> 02:37.620]  This here in the United States. What was it?
[02:37.620 --> 02:39.620]  at Stanford Research Institute
[02:43.660 --> 02:47.180]  Which is about as high level as it gets an actual technocratic training and
[02:47.900 --> 02:53.660]  I just wanted to point out that this is all an engineered program on record, and I'm gonna write an article tomorrow
[02:54.460 --> 02:58.780]  I'll have to write it tonight with Paul Watson, and then he'll finish it up in the morning
[02:58.780 --> 03:04.020]  That's gonna be published at info wars calm if not tomorrow Tuesday, but by procrastinate
[03:04.020 --> 03:07.820]  It will never get done. Just showing where the globalists admit. This is by design
[03:08.980 --> 03:11.420]  because this doesn't have to happen and
[03:12.220 --> 03:13.580]  I saw
[03:13.580 --> 03:17.780]  That video and it reminded me. I did some more research last night and sure enough I
[03:18.420 --> 03:21.460]  Go to drudge report calm probably 15 times a day
[03:22.180 --> 03:24.180]  like I do info wars calm and
